Model,Silhouette_Score,Davies_Bouldin_Index,Calinski_Harabasz_Score
KMeans,0.7229981384492498,0.570194082337377,28163.3704499518
Agglomerative,0.7543631946880085,0.5025093546545327,25936.237827788667
DBSCAN,0.8860093419220477,0.3991864225656579,1079.1182416571748
