tsne_1,tsne_2
-52.931293,23.335726
56.695446,10.545752
42.29841,-23.086166
85.06393,13.822017
62.577713,-13.364014
-3.6939912,-7.999202
32.993637,-9.213528
63.315746,-5.277475
32.08876,-7.3708787
5.4090476,9.675274
-63.608078,8.604442
-4.9502997,-6.6262965
-2.6184547,-13.714151
-23.31204,1.97767
-21.64608,-15.581689
-4.525663,-14.411237
55.834553,-21.234703
50.695377,-19.170393
-59.77392,11.856779
59.814922,-6.5336742
-46.180412,-9.619661
0.1184791,5.178526
-5.1319633,4.6073637
-35.83889,18.188087
-60.397793,12.471817
-27.221493,-30.223942
-9.763181,-12.438584
24.455683,10.362201
3.7150073,39.73234
82.07979,13.998939
64.94722,-13.235872
48.037106,-20.419428
47.250416,-18.937881
21.76922,4.3337483
-3.781605,-20.374008
52.723736,-16.468018
-18.561207,9.821441
-10.898733,-20.303272
-28.270142,-4.1669207
-45.821957,6.39634
50.39764,-20.822193
-71.76776,8.522306
-13.704927,-4.6646314
-29.063519,4.448737
-5.0082746,-4.344541
-54.744312,-33.56351
-57.075787,16.922173
-62.3805,5.9802246
70.53347,29.74426
31.0571,-4.5807357
5.8554025,-7.2222905
62.46572,-11.836483
-21.458157,-9.070643
61.602253,-13.154594
11.556188,12.3240795
25.722301,6.709921
28.746801,-0.6684107
10.768837,8.204701
-71.263466,9.2469425
-72.77685,-4.441624
-47.51297,2.2136142
-36.198986,-0.24887113
75.46175,23.847761
21.37195,14.694965
12.931062,17.64371
80.981186,20.175047
-13.285237,-18.17338
-3.1237833,-18.945282
-40.395382,15.857154
4.4579487,-10.406031
78.3365,19.967058
61.98059,-3.1667297
-39.264286,3.4602883
-3.5785613,16.26987
-43.204544,12.959435
25.900654,-1.6910126
7.3663507,2.1257513
55.931156,10.424047
-53.06899,-17.592463
10.149314,3.5371258
63.033802,26.25685
13.126964,15.135709
80.60991,20.076763
-39.57287,-13.68803
-54.431942,12.649745
-60.151478,13.547434
-67.177055,9.933393
-57.74825,11.267172
26.123247,2.0888398
-55.39541,18.841843
58.40471,1.3812784
-2.2016914,-13.322251
-58.22223,7.7583456
10.151191,-1.0556183
-17.215406,-19.771418
-32.98579,-4.1377897
-57.930756,15.980329
28.757984,15.413916
2.2583258,-11.38817
57.198524,12.22659
-4.96249,-8.755585
-33.57784,34.756523
-1.4700062,-9.840116
-48.744774,16.787508
-27.542494,-11.990106
-33.036293,-2.230379
24.752096,0.27341115
14.776452,9.666506
